# Time	NodeID	serviceID
0.0186060711107	7	87
0.0216024942328	9	79
0.0369179427087	11	122
0.0456737990975	8	142
0.0489843980173	7	248
0.05186797224	8	949
0.0684867243229	8	41
0.0815738279176	8	330
0.0879631211799	13	95
0.0974019753886	8	903
0.103883900472	7	27
0.120232884804	9	1
0.132952000206	12	566
0.143982818867	13	134
0.164202304853	14	46
0.184640827619	14	195
0.187367001173	8	524
0.193308522274	13	44
0.200400081518	8	5
0.208413359232	10	177
0.225258577015	9	896
0.234501443859	9	101
0.243571950925	12	203
0.247001495971	14	13
0.256488942562	10	122
0.257430119446	7	677
0.28311922344	7	727
0.308769434216	9	73
0.320986844835	11	540
0.339923834281	8	217
0.369834241886	9	105
0.380629558124	8	773
0.396395639873	13	242
0.403059605806	10	608
0.405843996642	10	5
0.408334516297	7	48
0.425257989612	13	8
0.437220372216	13	202
0.461301607872	9	325
0.461572204135	10	235
0.470151312718	12	63
0.509533263293	13	1
0.541983223414	14	6
0.544347747007	7	824
0.544578208096	12	4
0.547588176512	14	282
0.551900529271	14	141
0.552302279508	13	965
0.554525665643	11	400
0.572747433771	8	11
0.583914398949	8	2
0.595190746431	7	52
0.598076735882	9	100
0.59999826698	12	82
0.608417354977	9	41
0.612835819786	7	25
0.621059275957	13	416
0.625152750621	13	32
0.627898835118	8	56
0.631293894262	11	850
0.641338226807	9	375
0.646248738398	12	287
0.646263992245	14	49
0.649000678919	10	67
0.669829023166	9	84
0.674975135553	10	86
0.6858280266	13	102
0.688828636	14	160
0.695508609088	9	439
0.717039503189	12	41
0.723329820091	7	673
0.740065048515	14	998
0.750091401643	13	391
0.793383072274	12	323
0.797183635949	14	378
0.79720723943	7	161
0.798236256416	13	285
0.818923553516	11	937
0.81997916653	7	75
0.820827617418	11	106
0.836546222675	7	7
0.843903962545	10	54
0.864450580514	11	1
0.864865711948	10	187
0.894146925625	8	755
0.894576047942	10	354
0.905228650897	10	738
0.915449086359	11	169
0.917779057036	9	1
0.919416290922	11	499
0.93209249873	11	251
0.932513257257	14	947
0.935931554833	12	178
0.939404559361	12	22
0.939899155047	14	156
0.940634144606	12	47
0.945990821234	13	752
0.952415450322	7	930
0.956626085559	12	352
0.962186674932	11	405
0.984667623007	8	258
0.989376805021	8	272
0.990057823535	13	429
0.99068888468	13	74
0.998007842289	12	130
1.00679992836	10	89
1.01139383314	8	27
1.02640416046	12	58
1.02706404096	7	355
1.0503955879	12	320
1.05166154617	12	16
1.05209167998	8	18
1.05367407263	14	66
1.06157927526	14	966
1.10231834989	14	80
1.11371048931	8	135
1.13860526083	11	137
1.14550970104	10	15
1.15491990638	14	51
1.1877717891	8	553
1.18813291451	14	26
1.20346539769	7	211
1.21612854936	7	2
1.21701296212	7	1
1.2195630544	13	1
1.23813914278	11	10
1.23975045336	10	909
1.24678242232	8	140
1.2553125886	10	528
1.26949441831	8	425
1.29311572314	14	167
1.30224404692	7	125
1.31790018138	12	214
1.33695954254	7	294
1.33696194979	14	143
1.33989840664	13	639
1.36853615656	11	81
1.38514544429	13	275
1.38650731703	11	576
1.3870785993	13	86
1.39384801059	7	378
1.40504260575	14	960
1.41033827723	9	70
1.41082002638	12	9
1.41115006795	9	261
1.41226265587	9	53
1.41709823175	7	131
1.43840782166	9	115
1.44841304433	11	6
1.45988675185	9	497
1.46124619916	8	517
1.48612178978	7	326
1.50274231317	9	491
1.50483875728	7	101
1.51896991473	12	499
1.51975320201	13	817
1.52641173474	8	844
1.53739319329	9	18
1.53837457345	7	705
1.55348842073	10	87
1.55713133938	13	90
1.56547874578	8	820
1.57085114673	13	470
1.58410424352	13	102
1.59570119075	13	778
1.62846689865	10	3
1.62919614885	11	1
1.63347138085	13	925
1.65056433344	13	716
1.65289599505	14	316
1.68074459503	13	1
1.68535115196	13	233
1.70495356812	14	5
1.70917636914	8	7
1.74314421859	11	119
1.74660626078	8	880
1.75670995941	14	979
1.7577922773	9	9
1.78058832056	8	526
1.78438470686	14	438
1.7878245439	12	2
1.78924287357	13	3
1.79000316874	12	180
1.80350776323	14	88
1.81364035212	13	101
1.81824890478	8	2
1.82350197488	12	395
1.82736847225	14	36
1.83373401509	8	511
1.83697706413	9	336
1.85285662499	12	76
1.86745133082	12	24
1.87349257135	8	8
1.87969963391	10	126
1.88197667205	13	351
1.89161929171	13	37
1.906256847	10	175
1.90795549497	10	118
1.91929308497	7	21
1.93364772149	11	953
1.9349355098	8	1
1.93790039473	9	209
1.94294609678	13	25
1.94627842273	7	752
1.95532723134	13	503
1.95897435914	11	162
1.96183848189	8	10
1.96719701749	11	154
1.97572974967	10	163
1.98101972203	10	78
1.99609531822	7	35
2.00074435396	10	9
2.01268563258	12	219
2.01418843387	10	56
2.02058763738	12	122
2.03245209813	11	288
2.0330732153	11	422
2.0336115054	9	1
2.03998917638	8	1
2.04747214002	13	655
2.05906521079	10	310
